subject,task,avr,top_two
1,1,1.66666666666667,0
1,1,4,0
1,1,2.66666666666667,1
1,1,1.66666666666667,0
1,1,1.66666666666667,1
1,1,2,0
1,4,1,0
1,4,2,0
1,4,2,1
1,4,1.66666666666667,0
1,4,1,0
1,4,2,0
1,4,1.66666666666667,0
1,4,1.33333333333333,0
1,4,1.66666666666667,0
1,4,2,1
2,1,1.33333333333333,0
2,1,1.33333333333333,0
2,1,1,0
2,1,2,0
2,1,1.66666666666667,0
2,1,2.33333333333333,1
2,1,2,1
2,1,2,0
2,1,3,0
2,4,3,1
2,4,2.33333333333333,0
2,4,1.66666666666667,0
2,4,2,1
3,1,3,1
3,1,2,0
3,1,1,0
3,1,1.66666666666667,0
3,1,1.66666666666667,1
3,1,2,0
3,4,2,0
3,4,2.66666666666667,1
3,4,2.33333333333333,0
3,4,2.33333333333333,1
3,4,1.66666666666667,0
4,1,1.66666666666667,1
4,1,1.66666666666667,0
4,1,1.33333333333333,0
4,1,1.66666666666667,0
4,1,1.33333333333333,1
4,4,2.33333333333333,1
4,4,2,0
4,4,1.33333333333333,0
4,4,2,1
5,1,1.66666666666667,0
5,1,2.33333333333333,1
5,1,2,1
5,1,2.33333333333333,0
5,1,2.66666666666667,0
5,4,2,0
5,4,1.66666666666667,1
5,4,2,0
5,4,3,1
5,4,1.33333333333333,0
6,1,2,1
6,1,1.66666666666667,0
6,1,1.33333333333333,0
6,1,1.33333333333333,0
6,1,3.66666666666667,1
6,4,1.66666666666667,0
6,4,2.33333333333333,1
6,4,1.66666666666667,0
6,4,2,0
6,4,1.33333333333333,1
6,4,1.66666666666667,0
7,1,1.66666666666667,0
7,1,1.33333333333333,0
7,1,1.66666666666667,0
7,1,1.66666666666667,0
7,1,1.66666666666667,0
7,1,2.66666666666667,1
7,1,2.66666666666667,1
7,1,2,0
7,4,1.66666666666667,1
7,4,1.33333333333333,0
7,4,1.33333333333333,0
7,4,2.33333333333333,1
8,1,1.66666666666667,1
8,1,1.33333333333333,0
8,1,1.33333333333333,0
8,1,1.33333333333333,1
8,1,1.66666666666667,0
8,4,1.66666666666667,0
8,4,1.66666666666667,0
8,4,1.33333333333333,0
8,4,1.33333333333333,0
8,4,1.33333333333333,0
8,4,1.66666666666667,1
8,4,1.33333333333333,1
9,1,2,0
9,1,2,0
9,1,1,0
9,1,1.66666666666667,1
9,1,2.66666666666667,0
9,1,1,0
9,1,2,0
9,1,1.66666666666667,1
9,4,2.33333333333333,0
9,4,2.33333333333333,1
9,4,2,0
9,4,2,1
10,1,1.33333333333333,1
10,1,2,0
10,1,2.33333333333333,1
10,1,2.33333333333333,0
10,4,1.33333333333333,0
10,4,2,0
10,4,2,1
10,4,2.33333333333333,1
11,1,1.33333333333333,1
11,1,2.33333333333333,1
11,4,1.66666666666667,1
11,4,1.33333333333333,1
12,1,2.66666666666667,1
12,1,1.33333333333333,0
12,1,2,0
12,1,1.66666666666667,0
12,1,1,0
12,1,2,0
12,1,2.33333333333333,0
12,1,1.33333333333333,0
12,1,2,1
12,1,2,0
