id,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
84176,ruler,ruler,pencil,pencil,0.74268,0.98194,0.82905,0.85553,0.97279,0.8764,-0.05087
84176,nose picker,nose picker,pencil,pencil,0.98844,0.99802,0.97247,0.85275,0.98326,0.95899,0.08323
84176,scratch ear,scratch ear,pencil,pencil,1.01106,1.02933,1.00287,0.96711,1.10945,1.02396,0.13476
84176,hammer,hammer,clock,clock,0.81187,0.86602,0.85598,0.98318,0.83996,0.8714,-0.05508
84176,table,table,clock,clock,0.76489,0.80443,0.82374,1.04495,0.74535,0.83667,-0.10461
84176,direction,direction,clock,clock,0.85843,0.89216,0.91474,1.04148,0.7932,0.9,-0.01707
84176,coaster,coaster,clock,clock,0.8796,0.9614,0.87798,1.11081,0.85805,0.93757,0.00632
84176,latter,latter,clock,clock,1.02501,0.94449,0.93031,1.0902,0.90422,0.97885,0.07346
84176,ladder,ladder,bucket,bucket,0.67808,0.81907,0.74841,0.86286,0.70647,0.76298,-0.17421
84176,seat,seat,bucket,bucket,0.73151,0.84606,0.87606,0.96262,0.69969,0.82319,-0.10094
84176,toliet,toliet,bucket,bucket,NA,0.69426,NA,NA,NA,0.69426,-0.20399
84176,shoe bin,shoe bin,bucket,bucket,1.08184,0.97304,0.98157,1.03924,0.88664,0.99247,0.10954
84176,flower pot,flower pot,bucket,bucket,1.12551,0.90818,0.88028,1.08836,1.05683,1.01183,0.10376
84176,weapon,weapon,broom,broom,0.80883,0.92035,0.87743,1.02069,0.89654,0.90477,-0.02589
84176,witch ride,witch ride,broom,broom,1.01927,0.93946,0.978,0.97134,0.97369,0.97635,0.0894
84176,hammer,hammer,brick,brick,0.72563,0.84975,0.7923,0.97131,0.89504,0.84681,-0.10104
84176,weapon,weapon,brick,brick,0.85011,0.96659,0.9662,1.03924,0.96281,0.95699,0.03946
84176,ladder,ladder,brick,brick,0.7762,0.83323,0.87941,1.02978,0.80995,0.86571,-0.06675
84176,paper weight,paper weight,brick,brick,1.08063,0.92728,0.95949,1.00282,1.11712,1.01747,0.12406
84176,weapon,weapon,purse,purse,0.73101,0.80493,0.88893,0.95845,0.84577,0.84582,-0.08358
84176,ammunition holder,ammunition holder,purse,purse,1.02044,1.07141,0.99441,0.98018,1.05154,1.0236,0.13595
